"Actalis S.p.A./03358520967",,"Actalis Authentication Root CA","Websites;Email;Code"
"Starfield Technologies, Inc.",,"Starfield Services Root Certificate Authority - G2","Websites;Code"
"AS Sertifitseerimiskeskus",,"EE Certification Centre Root CA","Websites;Code"
"AS Sertifitseerimiskeskus",,"Juur-SK","Websites;Code"
"Unizeto Sp. z o.o.",,"Certum CA","Websites;Email;Code"
"Unizeto Technologies S.A.","Certum Certification Authority","Certum Trusted Network CA","Websites;Email;Code"
"Unizeto Technologies S.A.","Certum Certification Authority","Certum Trusted Network CA 2","Websites;Email"
"Atos",,"Atos TrustedRoot 2011","Websites;Email;Code"
"Autoridad de Certificacion Firmaprofesional",,"Autoridad de Certificacion Firmaprofesional CIF A62634068","Websites;Email;Code"
"Buypass AS-983163327",,"Buypass Class 2 CA 1","Websites"
"Buypass AS-983163327",,"Buypass Class 2 Root CA","Websites"
"Buypass AS-983163327",,"Buypass Class 3 Root CA","Websites"
"Disig a.s.",,"CA Disig Root R1","Websites;Email;Code"
"Disig a.s.",,"CA Disig Root R2","Websites;Email;Code"
"AC Camerfirma SA CIF A82743287","http://www.chambersign.org","Chambers of Commerce Root","Websites;Email;Code"
"AC Camerfirma S.A.",,"Chambers of Commerce Root - 2008","Websites;Email;Code"
"AC Camerfirma SA CIF A82743287","http://www.chambersign.org","Global Chambersign Root","Websites;Email;Code"
"AC Camerfirma S.A.",,"Global Chambersign Root - 2008","Websites;Email;Code"
"Certinomis","0002 433998903","Certinomis - Autorité Racine","Websites"
"Certinomis","0002 433998903","Certinomis - Root CA","Websites"
"certSIGN","certSIGN ROOT CA","certSIGN ROOT CA","Websites;Email;Code"
"China Financial Certification Authority",,"CFCA EV ROOT","Websites"
"China Internet Network Information Center",,"China Internet Network Information Center EV Certificates Root","Websites"
"CNNIC",,"CNNIC ROOT","Websites"
"Chunghwa Telecom Co., Ltd.","ePKI Root Certification Authority","ePKI Root Certification Authority","Websites;Email;Code"
"Comodo CA Limited",,"AAA Certificate Services","Websites;Email;Code"
"AddTrust AB","AddTrust TTP Network","AddTrust Class 1 CA Root","Websites;Email"
"AddTrust AB","AddTrust External TTP Network","AddTrust External CA Root","Websites;Email;Code"
